Date,Region,Sales_Rep,Product,Category,Quantity,Unit_Price,Discount,Revenue,Returned,Channel
2023-01-13,South,Emma Brown,Accessory Pack,Accessories,4,49.99,0,199.96,No,Retail
2023-01-13,West,Karen Hall,Starter Bundle,Bundle,18,89.99,0,1619.82,No,Retail
2023-01-13,East,Henry Lopez,Starter Bundle,Bundle,11,89.99,0.1,890.9,No,Online
2023-01-13,West,Jack Taylor,Accessory Pack,Accessories,4,49.99,0.15,169.97,No,Online
2023-01-13,West,Jack Taylor,DataKit Pro,Software,12,199.99,0,2399.88,No,Online
2023-01-13,North,Carol White,DataKit Pro,Software,19,199.99,0,3799.81,No,Retail
2023-01-13,West,Liam Clark,Accessory Pack,Accessories,5,49.99,0.05,237.45,No,Direct
2023-01-13,North,Bob Smith,Starter Bundle,Bundle,1,89.99,0,89.99,No,Direct
2023-01-14,South,Frank Davis,CoreLink 200,Hardware,12,149.99,0.05,1709.89,No,Online
2023-01-14,North,Alice Johnson,Accessory Pack,Accessories,11,49.99,0.15,467.41,No,Online
2023-01-14,East,Grace Kim,DataKit Pro,Software,2,199.99,0.15,339.98,No,Online
2023-01-15,South,Emma Brown,ProSuite X1,Software,2,299.99,0.1,539.98,No,Online
2023-01-15,East,Isla Moore,ProSuite X1,Software,15,299.99,0,4499.85,No,Direct
2023-01-15,East,Grace Kim,ProSuite X1,Software,2,299.99,0.05,569.98,No,Direct
2023-01-15,East,Isla Moore,ProSuite X1,Software,10,299.99,0.05,2849.9,No,Retail
2023-01-15,North,Carol White,DataKit Pro,Software,19,199.99,0.15,3229.84,No,Retail
2023-01-16,North,Alice Johnson,Accessory Pack,Accessories,12,49.99,0.1,539.89,No,Online
2023-01-16,North,Bob Smith,DataKit Pro,Software,4,199.99,0,799.96,Yes,Online
2023-01-17,North,Alice Johnson,Starter Bundle,Bundle,15,89.99,0,1349.85,No,Retail
2023-01-17,North,Bob Smith,ProSuite X1,Software,11,299.99,0.15,2804.91,No,Online
2023-01-17,West,Liam Clark,CoreLink 200,Hardware,6,149.99,0.15,764.95,No,Direct
2023-01-17,South,David Lee,DataKit Pro,Software,16,199.99,0.15,2719.86,No,Online
2023-01-18,East,Grace Kim,CoreLink 200,Hardware,15,149.99,0,2249.85,No,Retail
2023-01-18,East,Isla Moore,CoreLink 200,Hardware,6,149.99,0.1,809.95,No,Retail
2023-01-18,South,Frank Davis,CoreLink 200,Hardware,17,149.99,0.1,2294.85,No,Direct
2023-01-20,East,Grace Kim,DataKit Pro,Software,18,199.99,0.15,3059.85,No,Retail
2023-01-20,West,Liam Clark,CoreLink 200,Hardware,16,149.99,0.1,2159.86,No,Retail
2023-01-20,South,David Lee,DataKit Pro,Software,7,199.99,0.15,1189.94,Yes,Direct
2023-01-20,East,Grace Kim,DataKit Pro,Software,19,199.99,0.05,3609.82,No,Direct
2023-01-21,South,David Lee,DataKit Pro,Software,16,199.99,0.15,2719.86,No,Online
2023-01-21,North,Bob Smith,DataKit Pro,Software,6,199.99,0.1,1079.95,No,Online
2023-01-21,West,Karen Hall,ProSuite X1,Software,10,299.99,0.1,2699.91,No,Direct
2023-01-22,South,Frank Davis,DataKit Pro,Software,1,199.99,0,199.99,No,Online
2023-01-23,North,Alice Johnson,Starter Bundle,Bundle,5,89.99,0,449.95,No,Retail
2023-01-23,South,David Lee,CoreLink 200,Hardware,9,149.99,0,1349.91,No,Direct
2023-01-23,North,Alice Johnson,Accessory Pack,Accessories,10,49.99,0,499.9,No,Direct
2023-01-23,South,Frank Davis,CoreLink 200,Hardware,5,149.99,0,749.95,No,Direct
2023-01-23,West,Liam Clark,ProSuite X1,Software,12,299.99,0.05,3419.89,No,Online
2023-01-24,North,Alice Johnson,Starter Bundle,Bundle,20,89.99,0,1799.8,No,Retail
2023-01-25,South,Emma Brown,Starter Bundle,Bundle,5,89.99,0,449.95,No,Online
2023-01-25,West,Karen Hall,Accessory Pack,Accessories,2,49.99,0,99.98,No,Direct
2023-01-26,South,Frank Davis,Starter Bundle,Bundle,3,89.99,0,269.97,No,Retail
2023-01-26,East,Henry Lopez,CoreLink 200,Hardware,14,149.99,0,2099.86,No,Online
2023-01-26,West,Jack Taylor,DataKit Pro,Software,20,199.99,0.1,3599.82,No,Online
2023-01-27,East,Isla Moore,ProSuite X1,Software,13,299.99,0,3899.87,No,Online
2023-01-27,North,Carol White,CoreLink 200,Hardware,8,149.99,0,1199.92,No,Direct
2023-01-27,South,Frank Davis,Accessory Pack,Accessories,13,49.99,0.15,552.39,No,Online
2023-01-27,West,Liam Clark,DataKit Pro,Software,13,199.99,0,2599.87,No,Retail
2023-01-27,East,Grace Kim,Starter Bundle,Bundle,2,89.99,0.15,152.98,No,Retail
2023-01-29,North,Carol White,DataKit Pro,Software,15,199.99,0.15,2549.87,No,Retail
2023-01-29,North,Bob Smith,DataKit Pro,Software,3,199.99,0,599.97,No,Online
2023-01-29,South,Emma Brown,Accessory Pack,Accessories,15,49.99,0.15,637.37,No,Online
2023-01-29,South,Frank Davis,CoreLink 200,Hardware,5,149.99,0.1,674.96,Yes,Retail
2023-01-29,West,Karen Hall,DataKit Pro,Software,13,199.99,0,2599.87,No,Retail
2023-01-29,East,Grace Kim,DataKit Pro,Software,7,199.99,0.15,1189.94,No,Online
2023-01-30,West,Karen Hall,DataKit Pro,Software,16,199.99,0,3199.84,No,Retail
2023-01-30,North,Bob Smith,ProSuite X1,Software,10,299.99,0,2999.9,No,Online
2023-01-30,South,Emma Brown,Accessory Pack,Accessories,14,49.99,0.05,664.87,Yes,Online
2023-01-31,East,Grace Kim,Starter Bundle,Bundle,17,89.99,0,1529.83,No,Online
2023-01-31,West,Jack Taylor,ProSuite X1,Software,17,299.99,0,5099.83,No,Retail
2023-02-01,West,Liam Clark,ProSuite X1,Software,12,299.99,0.05,3419.89,No,Retail
2023-02-02,North,Bob Smith,CoreLink 200,Hardware,16,149.99,0.1,2159.86,No,Online
2023-02-02,North,Carol White,DataKit Pro,Software,16,199.99,0,3199.84,No,Retail
2023-02-03,South,Frank Davis,CoreLink 200,Hardware,20,149.99,0,2999.8,No,Online
2023-02-03,North,Bob Smith,ProSuite X1,Software,9,299.99,0,2699.91,No,Direct
2023-02-04,North,Alice Johnson,Starter Bundle,Bundle,16,89.99,0,1439.84,No,Online
2023-02-05,South,David Lee,Starter Bundle,Bundle,6,89.99,0,539.94,No,Online
2023-02-05,East,Henry Lopez,DataKit Pro,Software,12,199.99,0.05,2279.89,No,Online
2023-02-05,North,Carol White,DataKit Pro,Software,9,199.99,0.1,1619.92,No,Direct
2023-02-05,South,Emma Brown,ProSuite X1,Software,17,299.99,0.15,4334.86,No,Direct
2023-02-05,East,Henry Lopez,DataKit Pro,Software,6,199.99,0.05,1139.94,No,Online
2023-02-06,South,Frank Davis,Starter Bundle,Bundle,15,89.99,0,1349.85,Yes,Online
2023-02-07,West,Jack Taylor,CoreLink 200,Hardware,9,149.99,0,1349.91,No,Retail
2023-02-07,East,Grace Kim,ProSuite X1,Software,7,299.99,0,2099.93,No,Retail
2023-02-07,West,Karen Hall,DataKit Pro,Software,10,199.99,0,1999.9,Yes,Direct
2023-02-07,South,Emma Brown,ProSuite X1,Software,16,299.99,0.1,4319.86,No,Direct
2023-02-07,West,Karen Hall,Starter Bundle,Bundle,17,89.99,0.1,1376.85,No,Direct
2023-02-07,East,Henry Lopez,DataKit Pro,Software,17,199.99,0.1,3059.85,No,Online
2023-02-07,East,Henry Lopez,Accessory Pack,Accessories,7,49.99,0,349.93,No,Direct
2023-02-07,North,Bob Smith,ProSuite X1,Software,3,299.99,0.05,854.97,No,Retail
2023-02-08,West,Jack Taylor,ProSuite X1,Software,3,299.99,0,899.97,No,Retail
2023-02-09,North,Carol White,Starter Bundle,Bundle,12,89.99,0.15,917.9,No,Retail
2023-02-09,North,Bob Smith,Starter Bundle,Bundle,2,89.99,0,179.98,No,Retail
2023-02-09,East,Grace Kim,DataKit Pro,Software,14,199.99,0,2799.86,No,Online
2023-02-10,East,Henry Lopez,CoreLink 200,Hardware,14,149.99,0.15,1784.88,No,Online
2023-02-10,West,Liam Clark,ProSuite X1,Software,7,299.99,0,2099.93,No,Retail
2023-02-10,North,Bob Smith,Starter Bundle,Bundle,12,89.99,0.15,917.9,No,Retail
2023-02-10,West,Jack Taylor,DataKit Pro,Software,20,199.99,0.1,3599.82,No,Online
2023-02-10,East,Henry Lopez,Starter Bundle,Bundle,14,89.99,0.1,1133.87,No,Online
2023-02-10,East,Henry Lopez,Accessory Pack,Accessories,15,49.99,0.05,712.36,No,Online
2023-02-11,West,Karen Hall,Accessory Pack,Accessories,16,49.99,0.05,759.85,No,Direct
2023-02-12,East,Isla Moore,Starter Bundle,Bundle,12,89.99,0,1079.88,No,Retail
2023-02-12,North,Alice Johnson,ProSuite X1,Software,19,299.99,0,5699.81,No,Direct
2023-02-12,South,Emma Brown,Accessory Pack,Accessories,9,49.99,0.1,404.92,No,Retail
2023-02-13,West,Karen Hall,Accessory Pack,Accessories,11,49.99,0.05,522.4,No,Direct
2023-02-13,South,Emma Brown,CoreLink 200,Hardware,1,149.99,0,149.99,No,Direct
2023-02-14,East,Isla Moore,Starter Bundle,Bundle,13,89.99,0.05,1111.38,No,Direct
2023-02-14,South,Frank Davis,Starter Bundle,Bundle,12,89.99,0.05,1025.89,No,Online
2023-02-14,South,Emma Brown,Accessory Pack,Accessories,5,49.99,0,249.95,No,Online
2023-02-14,North,Carol White,ProSuite X1,Software,18,299.99,0,5399.82,No,Online
2023-02-14,South,David Lee,ProSuite X1,Software,9,299.99,0,2699.91,No,Direct
2023-02-14,South,David Lee,Starter Bundle,Bundle,17,89.99,0,1529.83,No,Direct
2023-02-15,South,David Lee,DataKit Pro,Software,5,199.99,0,999.95,No,Online
2023-02-15,South,David Lee,Accessory Pack,Accessories,8,49.99,0.1,359.93,No,Retail
2023-02-16,North,Alice Johnson,CoreLink 200,Hardware,16,149.99,0.1,2159.86,No,Direct
2023-02-16,East,Henry Lopez,Starter Bundle,Bundle,17,89.99,0.1,1376.85,No,Retail
2023-02-16,North,Bob Smith,Accessory Pack,Accessories,4,49.99,0,199.96,No,Retail
2023-02-16,South,Emma Brown,CoreLink 200,Hardware,19,149.99,0,2849.81,No,Direct
2023-02-16,North,Bob Smith,ProSuite X1,Software,10,299.99,0,2999.9,No,Retail
2023-02-16,North,Carol White,CoreLink 200,Hardware,15,149.99,0.05,2137.36,No,Direct
2023-02-17,East,Isla Moore,Accessory Pack,Accessories,15,49.99,0,749.85,No,Direct
2023-02-17,West,Liam Clark,Accessory Pack,Accessories,6,49.99,0,299.94,No,Retail
2023-02-18,South,Emma Brown,CoreLink 200,Hardware,15,149.99,0,2249.85,No,Online
2023-02-19,East,Henry Lopez,Accessory Pack,Accessories,3,49.99,0.1,134.97,No,Direct
2023-02-20,East,Grace Kim,Accessory Pack,Accessories,3,49.99,0,149.97,No,Online
2023-02-20,South,David Lee,ProSuite X1,Software,12,299.99,0,3599.88,No,Online
2023-02-20,West,Liam Clark,Starter Bundle,Bundle,20,89.99,0,1799.8,No,Retail
2023-02-20,West,Liam Clark,Starter Bundle,Bundle,7,89.99,0,629.93,No,Online
2023-02-20,South,David Lee,ProSuite X1,Software,6,299.99,0.15,1529.95,No,Retail
2023-02-21,South,Frank Davis,DataKit Pro,Software,2,199.99,0,399.98,No,Direct
2023-02-21,South,David Lee,DataKit Pro,Software,4,199.99,0,799.96,No,Direct
2023-02-22,West,Karen Hall,Accessory Pack,Accessories,10,49.99,0.15,424.92,No,Online
2023-02-22,South,David Lee,Accessory Pack,Accessories,4,49.99,0,199.96,No,Direct
2023-02-22,East,Grace Kim,DataKit Pro,Software,10,199.99,0,1999.9,No,Retail
2023-02-22,East,Isla Moore,ProSuite X1,Software,7,299.99,0.05,1994.93,No,Online
2023-02-23,East,Grace Kim,Starter Bundle,Bundle,12,89.99,0.1,971.89,No,Direct
2023-02-24,West,Liam Clark,CoreLink 200,Hardware,8,149.99,0.05,1139.92,No,Retail
2023-02-24,North,Bob Smith,DataKit Pro,Software,3,199.99,0,599.97,No,Direct
2023-02-25,North,Alice Johnson,Starter Bundle,Bundle,11,89.99,0,989.89,No,Online
2023-02-25,North,Carol White,CoreLink 200,Hardware,7,149.99,0.1,944.94,No,Retail
2023-02-25,East,Grace Kim,ProSuite X1,Software,6,299.99,0.05,1709.94,No,Retail
2023-02-25,East,Isla Moore,DataKit Pro,Software,3,199.99,0.1,539.97,No,Online
2023-02-25,East,Henry Lopez,DataKit Pro,Software,19,199.99,0,3799.81,No,Retail
2023-02-25,East,Henry Lopez,Accessory Pack,Accessories,16,49.99,0,799.84,No,Online
2023-02-26,East,Isla Moore,DataKit Pro,Software,4,199.99,0,799.96,No,Direct
2023-02-26,North,Bob Smith,Accessory Pack,Accessories,11,49.99,0,549.89,No,Retail
2023-02-26,South,Frank Davis,Accessory Pack,Accessories,8,49.99,0,399.92,No,Online
2023-02-27,South,Frank Davis,CoreLink 200,Hardware,8,149.99,0.15,1019.93,No,Direct
2023-02-27,South,Frank Davis,Starter Bundle,Bundle,12,89.99,0,1079.88,No,Direct
2023-02-27,East,Henry Lopez,ProSuite X1,Software,18,299.99,0.05,5129.83,No,Retail
2023-02-27,North,Bob Smith,Starter Bundle,Bundle,6,89.99,0,539.94,No,Direct
2023-02-27,South,David Lee,DataKit Pro,Software,13,199.99,0.15,2209.89,Yes,Retail
2023-02-27,South,Emma Brown,DataKit Pro,Software,18,199.99,0.1,3239.84,No,Direct
2023-02-28,North,Carol White,Starter Bundle,Bundle,10,89.99,0.1,809.91,No,Direct
2023-03-01,West,Karen Hall,Accessory Pack,Accessories,17,49.99,0,849.83,No,Retail
2023-03-01,South,David Lee,Starter Bundle,Bundle,2,89.99,0,179.98,No,Retail
2023-03-01,North,Carol White,Accessory Pack,Accessories,3,49.99,0.05,142.47,No,Direct
2023-03-02,East,Grace Kim,DataKit Pro,Software,8,199.99,0.15,1359.93,No,Online
2023-03-03,South,Emma Brown,Accessory Pack,Accessories,19,49.99,0,949.81,No,Retail
2023-03-03,South,Emma Brown,Accessory Pack,Accessories,14,49.99,0.1,629.87,No,Retail
2023-03-04,West,Karen Hall,Starter Bundle,Bundle,4,89.99,0.05,341.96,No,Retail
2023-03-04,East,Henry Lopez,Accessory Pack,Accessories,14,49.99,0,699.86,No,Retail
2023-03-04,South,Frank Davis,Starter Bundle,Bundle,16,89.99,0.15,1223.86,No,Direct
2023-03-04,North,Carol White,Accessory Pack,Accessories,17,49.99,0.15,722.36,No,Direct
2023-03-05,South,Emma Brown,ProSuite X1,Software,19,299.99,0.1,5129.83,No,Online
2023-03-05,East,Grace Kim,Accessory Pack,Accessories,9,49.99,0,449.91,No,Direct
2023-03-07,East,Grace Kim,CoreLink 200,Hardware,19,149.99,0,2849.81,No,Direct
2023-03-08,East,Grace Kim,CoreLink 200,Hardware,7,149.99,0.1,944.94,No,Retail
2023-03-08,North,Alice Johnson,DataKit Pro,Software,7,199.99,0,1399.93,No,Direct
2023-03-09,East,Grace Kim,CoreLink 200,Hardware,6,149.99,0,899.94,No,Online
2023-03-09,East,Henry Lopez,Accessory Pack,Accessories,18,49.99,0.15,764.85,No,Direct
2023-03-09,East,Isla Moore,ProSuite X1,Software,12,299.99,0,3599.88,No,Online
2023-03-10,North,Alice Johnson,ProSuite X1,Software,14,299.99,0,4199.86,No,Retail
2023-03-10,East,Grace Kim,ProSuite X1,Software,1,299.99,0,299.99,No,Direct
2023-03-10,West,Liam Clark,CoreLink 200,Hardware,12,149.99,0,1799.88,Yes,Direct
2023-03-10,East,Isla Moore,Starter Bundle,Bundle,19,89.99,0.05,1624.32,No,Direct
2023-03-10,North,Carol White,Starter Bundle,Bundle,9,89.99,0,809.91,No,Online
2023-03-11,South,Emma Brown,Accessory Pack,Accessories,18,49.99,0.05,854.83,No,Online
2023-03-11,West,Liam Clark,ProSuite X1,Software,10,299.99,0.05,2849.9,No,Direct
2023-03-11,West,Karen Hall,Starter Bundle,Bundle,20,89.99,0.15,1529.83,No,Direct
2023-03-11,South,Emma Brown,ProSuite X1,Software,18,299.99,0.1,4859.84,No,Direct
2023-03-12,South,David Lee,Starter Bundle,Bundle,18,89.99,0,1619.82,No,Direct
2023-03-12,South,Frank Davis,DataKit Pro,Software,8,199.99,0,1599.92,No,Direct
2023-03-12,West,Jack Taylor,CoreLink 200,Hardware,14,149.99,0,2099.86,No,Direct
2023-03-12,West,Liam Clark,Starter Bundle,Bundle,5,89.99,0.15,382.46,No,Retail
2023-03-12,West,Jack Taylor,DataKit Pro,Software,7,199.99,0,1399.93,No,Direct
2023-03-14,West,Jack Taylor,Starter Bundle,Bundle,9,89.99,0,809.91,No,Retail
2023-03-14,South,Emma Brown,DataKit Pro,Software,13,199.99,0,2599.87,No,Direct
2023-03-15,South,Frank Davis,DataKit Pro,Software,6,199.99,0.05,1139.94,No,Direct
2023-03-16,South,Emma Brown,Starter Bundle,Bundle,3,89.99,0,269.97,No,Direct
2023-03-16,West,Karen Hall,Accessory Pack,Accessories,1,49.99,0,49.99,No,Direct
2023-03-17,South,Frank Davis,CoreLink 200,Hardware,5,149.99,0,749.95,No,Online
2023-03-17,West,Karen Hall,Accessory Pack,Accessories,10,49.99,0.15,424.92,No,Direct
2023-03-17,North,Bob Smith,Accessory Pack,Accessories,5,49.99,0,249.95,No,Direct
2023-03-17,West,Liam Clark,Starter Bundle,Bundle,8,89.99,0,719.92,No,Direct
2023-03-18,East,Henry Lopez,Starter Bundle,Bundle,6,89.99,0.05,512.94,No,Retail
2023-03-18,East,Henry Lopez,Starter Bundle,Bundle,7,89.99,0.1,566.94,No,Online
2023-03-18,South,Emma Brown,Accessory Pack,Accessories,13,49.99,0.1,584.88,No,Retail
2023-03-18,East,Henry Lopez,Accessory Pack,Accessories,13,49.99,0,649.87,No,Online
2023-03-18,East,Grace Kim,Accessory Pack,Accessories,11,49.99,0,549.89,No,Direct
2023-03-19,South,Emma Brown,CoreLink 200,Hardware,2,149.99,0,299.98,No,Retail
2023-03-19,North,Carol White,ProSuite X1,Software,18,299.99,0,5399.82,No,Online
2023-03-20,North,Alice Johnson,Accessory Pack,Accessories,1,49.99,0.1,44.99,No,Direct
2023-03-20,West,Karen Hall,DataKit Pro,Software,10,199.99,0.15,1699.91,No,Direct
2023-03-20,North,Carol White,ProSuite X1,Software,17,299.99,0.05,4844.84,No,Retail
2023-03-20,South,Frank Davis,Starter Bundle,Bundle,13,89.99,0,1169.87,No,Retail
2023-03-20,East,Isla Moore,Starter Bundle,Bundle,20,89.99,0,1799.8,No,Retail
2023-03-21,South,Frank Davis,ProSuite X1,Software,4,299.99,0.15,1019.97,No,Retail
2023-03-21,North,Carol White,CoreLink 200,Hardware,5,149.99,0.05,712.45,No,Online
2023-03-22,East,Henry Lopez,CoreLink 200,Hardware,16,149.99,0,2399.84,No,Direct
2023-03-22,West,Karen Hall,Accessory Pack,Accessories,15,49.99,0,749.85,No,Retail
2023-03-22,North,Bob Smith,CoreLink 200,Hardware,14,149.99,0.05,1994.87,No,Online
2023-03-22,West,Jack Taylor,DataKit Pro,Software,15,199.99,0.15,2549.87,No,Retail
2023-03-23,South,David Lee,Starter Bundle,Bundle,9,89.99,0.05,769.41,No,Retail
2023-03-23,South,Emma Brown,DataKit Pro,Software,11,199.99,0,2199.89,No,Direct
2023-03-23,South,Frank Davis,Accessory Pack,Accessories,9,49.99,0.05,427.41,No,Direct
2023-03-23,West,Jack Taylor,DataKit Pro,Software,19,199.99,0,3799.81,No,Direct
2023-03-24,North,Bob Smith,CoreLink 200,Hardware,20,149.99,0,2999.8,Yes,Online
2023-03-24,East,Isla Moore,Accessory Pack,Accessories,13,49.99,0,649.87,No,Retail
2023-03-24,East,Grace Kim,ProSuite X1,Software,16,299.99,0,4799.84,No,Direct
2023-03-25,South,David Lee,DataKit Pro,Software,18,199.99,0,3599.82,No,Retail
2023-03-25,West,Jack Taylor,CoreLink 200,Hardware,13,149.99,0.05,1852.38,No,Direct
2023-03-25,North,Alice Johnson,Starter Bundle,Bundle,5,89.99,0.05,427.45,No,Online
2023-03-25,North,Bob Smith,ProSuite X1,Software,13,299.99,0,3899.87,No,Online
2023-03-27,East,Henry Lopez,Starter Bundle,Bundle,3,89.99,0.05,256.47,No,Online
2023-03-27,South,David Lee,Accessory Pack,Accessories,19,49.99,0,949.81,No,Retail
2023-03-29,South,Frank Davis,Starter Bundle,Bundle,16,89.99,0.1,1295.86,No,Direct
2023-03-29,South,David Lee,Accessory Pack,Accessories,14,49.99,0.1,629.87,No,Direct
2023-03-29,North,Carol White,ProSuite X1,Software,8,299.99,0.1,2159.93,No,Retail
2023-03-29,South,Frank Davis,Accessory Pack,Accessories,19,49.99,0,949.81,No,Direct
2023-03-29,West,Jack Taylor,CoreLink 200,Hardware,3,149.99,0,449.97,Yes,Online
2023-03-30,West,Jack Taylor,DataKit Pro,Software,7,199.99,0,1399.93,No,Online
2023-03-30,North,Carol White,ProSuite X1,Software,7,299.99,0,2099.93,No,Online
2023-03-30,West,Jack Taylor,ProSuite X1,Software,3,299.99,0,899.97,No,Online
2023-03-31,East,Isla Moore,CoreLink 200,Hardware,3,149.99,0.1,404.97,No,Retail
2023-03-31,North,Alice Johnson,DataKit Pro,Software,9,199.99,0.1,1619.92,No,Online
2023-04-01,West,Jack Taylor,CoreLink 200,Hardware,19,149.99,0.1,2564.83,No,Retail
2023-04-02,South,Frank Davis,ProSuite X1,Software,6,299.99,0.05,1709.94,No,Online
2023-04-02,North,Carol White,Starter Bundle,Bundle,14,89.99,0,1259.86,No,Retail
2023-04-02,East,Henry Lopez,Starter Bundle,Bundle,5,89.99,0,449.95,No,Retail
2023-04-02,North,Alice Johnson,DataKit Pro,Software,13,199.99,0.05,2469.88,No,Direct
2023-04-02,South,Emma Brown,Starter Bundle,Bundle,6,89.99,0,539.94,No,Retail
2023-04-02,North,Carol White,Accessory Pack,Accessories,12,49.99,0,599.88,No,Online
2023-04-02,East,Isla Moore,Accessory Pack,Accessories,7,49.99,0.15,297.44,No,Direct
2023-04-02,North,Carol White,Starter Bundle,Bundle,4,89.99,0.05,341.96,No,Direct
2023-04-03,South,Frank Davis,CoreLink 200,Hardware,20,149.99,0,2999.8,No,Retail
2023-04-03,West,Karen Hall,Accessory Pack,Accessories,1,49.99,0.15,42.49,No,Direct
2023-04-03,South,David Lee,Accessory Pack,Accessories,12,49.99,0,599.88,No,Retail
2023-04-04,West,Karen Hall,Starter Bundle,Bundle,11,89.99,0,989.89,No,Online
2023-04-04,North,Alice Johnson,Accessory Pack,Accessories,6,49.99,0,299.94,No,Retail
2023-04-05,West,Karen Hall,ProSuite X1,Software,1,299.99,0,299.99,No,Direct
2023-04-06,West,Liam Clark,CoreLink 200,Hardware,3,149.99,0.1,404.97,No,Retail
2023-04-07,South,Emma Brown,Starter Bundle,Bundle,14,89.99,0,1259.86,No,Online
2023-04-08,South,David Lee,Accessory Pack,Accessories,1,49.99,0,49.99,No,Retail
2023-04-09,South,David Lee,CoreLink 200,Hardware,14,149.99,0.05,1994.87,No,Direct
2023-04-10,East,Henry Lopez,Accessory Pack,Accessories,9,49.99,0,449.91,No,Online
2023-04-11,West,Karen Hall,DataKit Pro,Software,12,199.99,0,2399.88,No,Direct
2023-04-12,North,Carol White,DataKit Pro,Software,7,199.99,0,1399.93,No,Direct
2023-04-12,East,Henry Lopez,DataKit Pro,Software,4,199.99,0,799.96,No,Retail
2023-04-12,East,Isla Moore,ProSuite X1,Software,9,299.99,0.1,2429.92,No,Direct
2023-04-13,West,Liam Clark,Starter Bundle,Bundle,7,89.99,0.05,598.43,No,Retail
2023-04-13,East,Henry Lopez,CoreLink 200,Hardware,3,149.99,0.05,427.47,No,Direct
2023-04-14,West,Liam Clark,DataKit Pro,Software,6,199.99,0.05,1139.94,No,Online
2023-04-14,South,David Lee,Starter Bundle,Bundle,1,89.99,0.15,76.49,No,Online
2023-04-15,North,Bob Smith,ProSuite X1,Software,12,299.99,0,3599.88,No,Online
2023-04-15,South,David Lee,Accessory Pack,Accessories,8,49.99,0,399.92,No,Direct
2023-04-15,East,Henry Lopez,ProSuite X1,Software,20,299.99,0,5999.8,No,Online
2023-04-16,East,Henry Lopez,CoreLink 200,Hardware,5,149.99,0.05,712.45,No,Online
2023-04-16,East,Isla Moore,CoreLink 200,Hardware,19,149.99,0.1,2564.83,No,Retail
2023-04-16,West,Karen Hall,Starter Bundle,Bundle,19,89.99,0.1,1538.83,No,Retail
2023-04-16,West,Liam Clark,CoreLink 200,Hardware,15,149.99,0,2249.85,No,Online
2023-04-17,East,Grace Kim,ProSuite X1,Software,12,299.99,0.1,3239.89,No,Direct
